# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.duration,1760623728194000000,1760623740718000000,0
cacheStateStorage.get.counter,1760623728194000000,1760623740718000000,10
cacheStateStorage.set.counter,1760623728194000000,1760623740718000000,0
cacheStateStorage.get.duration,1760623728194000000,1760623740718000000,0
AWTEventQueue.dispatchTime90PNs,1760623728194000000,1760623740718000000,0
NonBlockingReadAction.failedExecutionTimeUs,1760623728194000000,1760623740718000000,0
FlushQueue.queueSizeMax,1760623728194000000,1760623740718000000,0
WriteAction.executionsCount,1760623728194000000,1760623740718000000,1
FlushQueue.waitingTimeAvgNs,1760623728194000000,1760623740718000000,0.0
FlushQueue.executionTime90PNs,1760623728194000000,1760623740718000000,0
FlushQueue.queueSize90P,1760623728194000000,1760623740718000000,0
NonBlockingReadAction.failedExecutionsCount,1760623728194000000,1760623740718000000,0
FlushQueue.queueSizeAvg,1760623728194000000,1760623740718000000,0.0
NonBlockingReadAction.finalizedExecutionTimeUs,1760623728194000000,1760623740718000000,53418
AWTEventQueue.dispatchTimeAvgNs,1760623728194000000,1760623740718000000,0.0
FlushQueue.executionTimeMaxNs,1760623728194000000,1760623740718000000,0
FlushQueue.waitingTimeMaxNs,1760623728194000000,1760623740718000000,0
ReadAction.executionsCount,1760623728194000000,1760623740718000000,45775
AWTEventQueue.dispatchTimeMaxNs,1760623728194000000,1760623740718000000,0
NonBlockingReadAction.finalizedExecutionsCount,1760623728194000000,1760623740718000000,17
FlushQueue.tasksExecuted,1760623728194000000,1760623740718000000,0
AWTEventQueue.eventsDispatched,1760623728194000000,1760623740718000000,0
FlushQueue.executionTimeAvgNs,1760623728194000000,1760623740718000000,0.0
FlushQueue.waitingTime90PNs,1760623728194000000,1760623740718000000,0
AWTEventQueue.dispatchTimeTotalNS,1760623728194000000,1760623740718000000,9982426187
workspaceModel.cachedValue.clear.count,1760623728194000000,1760623740718000000,0
workspaceModel.replace.project.model.ms,1760623728194000000,1760623740718000000,0
workspaceModel.initializing.ms,1760623728194000000,1760623740718000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1760623728194000000,1760623740718000000,3
workspaceModel.pre.handlers.ms,1760623728194000000,1760623740718000000,0
workspaceModel.loading.from.cache.ms,1760623728194000000,1760623740718000000,51
workspaceModel.loading.total.ms,1760623728194000000,1760623740718000000,64
workspaceModel.updates.ms,1760623728194000000,1760623740718000000,0
workspaceModel.cachedValueWithParameters.clear.count,1760623728194000000,1760623740718000000,0
workspaceModel.cachedValue.from.cache.count,1760623728194000000,1760623740718000000,4
workspaceModel.full.replace.project.model.ms,1760623728194000000,1760623740718000000,0
workspaceModel.check.recursive.update.ms,1760623728194000000,1760623740718000000,0
workspaceModel.init.bridges.ms,1760623728194000000,1760623740718000000,0
workspaceModel.cachedValue.total.get.count,1760623728194000000,1760623740718000000,5
workspaceModel.on.changed.ms,1760623728194000000,1760623740718000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1760623728194000000,1760623740718000000,0
workspaceModel.cachedValue.calculated.count,1760623728194000000,1760623740718000000,1
workspaceModel.update.unloaded.entities.ms,1760623728194000000,1760623740718000000,0
workspaceModel.collect.changes.ms,1760623728194000000,1760623740718000000,0
workspaceModel.on.before.changed.ms,1760623728194000000,1760623740718000000,0
workspaceModel.to.snapshot.ms,1760623728194000000,1760623740718000000,0
workspaceModel.updates.precise.ms,1760623728194000000,1760623740718000000,0
workspaceModel.updates.count,1760623728194000000,1760623740718000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1760623728194000000,1760623740718000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1760623728194000000,1760623740718000000,0
VFS.invertedFileNameIndex.requests,1760623728194000000,1760623740718000000,0
VFS.fileByIdCache.misses,1760623728194000000,1760623740718000000,0
VFS.fileChildByName,1760623728194000000,1760623740718000000,13
VFS.fileByIdCache.hits,1760623728194000000,1760623740718000000,0
writeAction.max.wait.ms,1760623728194000000,1760623740718000000,1
writeAction.wait.ms,1760623728194000000,1760623740718000000,1
writeAction.count,1760623728194000000,1760623740718000000,1
writeAction.median.wait.ms,1760623728194000000,1760623740718000000,0
FilePageCacheLockFree.totalBytesWritten,1760623728194000000,1760623740718000000,0
FilePageCache.pageHits,1760623728194000000,1760623740718000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1760623728194000000,1760623740718000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1760623728194000000,1760623740718000000,0
MappedFileStorage.totalPagesMapped,1760623728194000000,1760623740718000000,0
FilePageCacheLockFree.heapBytesInUse,1760623728194000000,1760623740718000000,0
