# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.housekeeperTurnsDone,1760626440650000000,1760626500661000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1760626440650000000,1760626500661000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1760626440650000000,1760626500661000000,0
DirectByteBufferAllocator.disposed,1760626440650000000,1760626500661000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1760626440650000000,1760626500661000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1760626440650000000,1760626500661000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1760626440650000000,1760626500661000000,0
FilePageCacheLockFree.nativeBytesInUse,1760626440650000000,1760626500661000000,0
FilePageCache.pageFastCacheHits,1760626440650000000,1760626500661000000,3836
FilePageCache.disposedBuffers,1760626440650000000,1760626500661000000,5
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1760626440650000000,1760626500661000000,151
FilePageCacheLockFree.totalBytesWritten,1760626440650000000,1760626500661000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1760626440650000000,1760626500661000000,0
FilePageCacheLockFree.totalBytesRead,1760626440650000000,1760626500661000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1760626440650000000,1760626500661000000,1470
FilePageCacheLockFree.totalPagesReclaimed,1760626440650000000,1760626500661000000,0
FilePageCache.pageLoads,1760626440650000000,1760626500661000000,197
FilePageCacheLockFree.totalPagesRequested,1760626440650000000,1760626500661000000,0
MappedFileStorage.totalBytesMapped,1760626440650000000,1760626500661000000,164626432
FilePageCacheLockFree.housekeeperTimeSpentMs,1760626440650000000,1760626500661000000,0
MappedFileStorage.storages,1760626440650000000,1760626500661000000,6
FilePageCache.pageHits,1760626440650000000,1760626500661000000,0
StorageLockContext.competingThreads.90P,1760626440650000000,1760626500661000000,0
FilePageCache.totalPageLoadsUs,1760626440650000000,1760626500661000000,147894
FilePageCache.capacityInBytes,1760626440650000000,1760626500661000000,503316478
DirectByteBufferAllocator.reclaimed,1760626440650000000,1760626500661000000,5
FilePageCacheLockFree.totalPagesWriteMs,1760626440650000000,1760626500661000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1760626440650000000,1760626500661000000,199245824
StreamlinedBlobStorage.recordsDeleted,1760626440650000000,1760626500661000000,0
StorageLockContext.competingThreads.avg,1760626440650000000,1760626500661000000,0.0
FilePageCacheLockFree.heapBytesInUse,1760626440650000000,1760626500661000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1760626440650000000,1760626500661000000,0
cacheStateStorage.get.counter,1760626440650000000,1760626500661000000,2
cacheStateStorage.get.duration,1760626440650000000,1760626500661000000,0
cacheStateStorage.set.duration,1760626440650000000,1760626500661000000,5
cacheStateStorage.set.counter,1760626440650000000,1760626500661000000,1
FlushQueue.waitingTime90PNs,1760626440650000000,1760626500661000000,11075583
AWTEventQueue.eventsDispatched,1760626440650000000,1760626500661000000,2059
AWTEventQueue.dispatchTimeTotalNS,1760626440650000000,1760626500661000000,1318594878
FlushQueue.queueSizeMax,1760626440650000000,1760626500661000000,13
FlushQueue.queueSizeAvg,1760626440650000000,1760626500661000000,2.3755458515283845
FlushQueue.queueSize90P,1760626440650000000,1760626500661000000,6
ReadAction.executionsCount,1760626440650000000,1760626500661000000,172
FlushQueue.executionTimeMaxNs,1760626440650000000,1760626500661000000,440401919
FlushQueue.executionTime90PNs,1760626440650000000,1760626500661000000,663551
FlushQueue.waitingTimeAvgNs,1760626440650000000,1760626500661000000,2.3450866305676855E7
FlushQueue.tasksExecuted,1760626440650000000,1760626500661000000,229
AWTEventQueue.dispatchTimeMaxNs,1760626440650000000,1760626500661000000,442499071
AWTEventQueue.dispatchTime90PNs,1760626440650000000,1760626500661000000,233471
AWTEventQueue.dispatchTimeAvgNs,1760626440650000000,1760626500661000000,640684.759592035
FlushQueue.executionTimeAvgNs,1760626440650000000,1760626500661000000,2498885.7991266376
WriteAction.executionsCount,1760626440650000000,1760626500661000000,1
FlushQueue.waitingTimeMaxNs,1760626440650000000,1760626500661000000,390070271
jps.library.entities.serializer.save.entities.ms,1760626500661000000,1760626560655000000,0
jps.library.entities.serializer.load.entities.ms,1760626500661000000,1760626560655000000,0
workspaceModel.load.cache.from.file.ms,1760626500661000000,1760626560655000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1760626500661000000,1760626560655000000,0
jps.global.initialize.library.bridges.after.loading.ms,1760626500661000000,1760626560655000000,0
jps.app.storage.content.writer.save.component.ms,1760626500661000000,1760626560655000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1760626500661000000,1760626560655000000,0
jps.global.handle.before.change.events.ms,1760626500661000000,1760626560655000000,0
jps.global.initialize.library.bridges.ms,1760626500661000000,1760626560655000000,0
workspaceModel.global.updates.count,1760626500661000000,1760626560655000000,0
workspaceModel.global.apply.state.to.project.ms,1760626500661000000,1760626560655000000,0
jps.global.get.library.ms,1760626500661000000,1760626560655000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1760626500661000000,1760626560655000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1760626500661000000,1760626560655000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1760626500661000000,1760626560655000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1760626500661000000,1760626560655000000,0
jps.global.get.library.by.name.ms,1760626500661000000,1760626560655000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1760626500661000000,1760626560655000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1760626500661000000,1760626560655000000,0
workspaceModel.global.updates.ms,1760626500661000000,1760626560655000000,0
jps.save.global.entities.ms,1760626500661000000,1760626560655000000,0
workspaceModel.save.cache.to.file.ms,1760626500661000000,1760626560655000000,0
jps.app.storage.content.reader.load.component.ms,1760626500661000000,1760626560655000000,0
workspaceModel.mutableEntityStorage.entities.ms,1760626500661000000,1760626560655000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1760626500661000000,1760626560655000000,0
